DATE,YEAR,MO,DY,CITY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS2M
2010-01-01,2010,1,1,Bengaluru,5.0662,21.99,72.15,2.89
2010-01-02,2010,1,2,Bengaluru,5.4979,20.94,66.76,2.69
2010-01-03,2010,1,3,Bengaluru,5.2274,19.99,70.37,1.95
2010-01-04,2010,1,4,Bengaluru,5.7089,20.34,64.02,1.83
2010-01-05,2010,1,5,Bengaluru,5.735,20.77,63.2,1.95
2010-01-06,2010,1,6,Bengaluru,5.1814,20.63,67.19,2.57
2010-01-07,2010,1,7,Bengaluru,4.8125,20.84,68.88,2.52
2010-01-08,2010,1,8,Bengaluru,4.9915,21.88,69.21,2.3
2010-01-09,2010,1,9,Bengaluru,3.691,22.93,75.17,2.71
2010-01-10,2010,1,10,Bengaluru,4.243,23.11,74.92,2.81
2010-01-11,2010,1,11,Bengaluru,4.4662,23.24,75.16,2.72
2010-01-12,2010,1,12,Bengaluru,3.9922,24.05,72.78,1.29
2010-01-13,2010,1,13,Bengaluru,3.7769,23.7,76.0,1.73
2010-01-14,2010,1,14,Bengaluru,4.8173,23.72,71.18,2.63
2010-01-15,2010,1,15,Bengaluru,5.3513,22.43,69.47,3.34
2010-01-16,2010,1,16,Bengaluru,5.5404,20.69,66.68,3.07
2010-01-17,2010,1,17,Bengaluru,5.6626,21.52,65.98,2.82
2010-01-18,2010,1,18,Bengaluru,5.2073,22.21,69.34,2.24
2010-01-19,2010,1,19,Bengaluru,4.5166,22.6,68.47,2.35
2010-01-20,2010,1,20,Bengaluru,4.7198,22.07,61.36,2.49
2010-01-21,2010,1,21,Bengaluru,5.9784,20.19,59.0,2.4
2010-01-22,2010,1,22,Bengaluru,6.1195,19.44,60.35,2.33
2010-01-23,2010,1,23,Bengaluru,6.1987,19.28,60.74,2.7
2010-01-24,2010,1,24,Bengaluru,6.1634,19.71,61.25,2.31
2010-01-25,2010,1,25,Bengaluru,5.3683,20.63,65.32,2.43
2010-01-26,2010,1,26,Bengaluru,5.4382,21.46,65.09,2.54
